epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2648.25,1.11654,0.4533,1.06729,0.81241,0.84345,0.82144,0.26623,2.41381,0.88249,2.14007,0.0002378,0.0002378,0.0002378
91,2678.05,1.08358,0.42867,1.07411,0.78182,0.80932,0.80296,0.2665,2.44428,0.90399,2.22982,0.000218,0.000218,0.000218
92,2707.29,1.07592,0.41626,1.06943,0.82915,0.80196,0.82118,0.25766,2.49682,0.88575,2.2818,0.0001982,0.0001982,0.0001982
93,2736.59,1.07225,0.41602,1.07997,0.84975,0.84615,0.86999,0.28473,2.42739,0.90296,2.21171,0.0001784,0.0001784,0.0001784
94,2765.87,1.07165,0.40859,1.06541,0.85771,0.84779,0.87218,0.29334,2.3833,0.92656,2.16949,0.0001586,0.0001586,0.0001586
95,2795.06,1.06711,0.40747,1.07224,0.85662,0.82134,0.84813,0.27112,2.44251,0.94825,2.2161,0.0001388,0.0001388,0.0001388
96,2824.14,1.05206,0.40695,1.06826,0.8789,0.85106,0.88071,0.30583,2.33818,0.91914,2.10479,0.000119,0.000119,0.000119
97,2853.28,1.05543,0.40737,1.06353,0.846,0.81818,0.85407,0.28772,2.40224,0.95359,2.1903,9.92e-05,9.92e-05,9.92e-05
98,2882.44,1.04655,0.4053,1.06042,0.83352,0.81126,0.84666,0.28805,2.35969,0.99244,2.17725,7.94e-05,7.94e-05,7.94e-05
99,2911.58,1.04403,0.39978,1.06519,0.8548,0.81896,0.85489,0.29709,2.35367,0.9723,2.18126,5.96e-05,5.96e-05,5.96e-05
100,2940.77,1.04315,0.40034,1.05863,0.85049,0.82324,0.85226,0.28995,2.36624,0.96516,2.17863,3.98e-05,3.98e-05,3.98e-05
