epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2390.14,1.01272,0.46639,1.03865,0.97649,0.97572,0.96464,0.46793,1.74397,0.68082,1.30403,0.0003764,0.0003764,0.0003764
84,2418.91,1.0133,0.45444,1.03738,0.98237,0.98194,0.97197,0.49467,1.70579,0.66014,1.29459,0.0003566,0.0003566,0.0003566
85,2447.59,1.01019,0.45222,1.03747,0.97407,0.96916,0.95675,0.43478,1.85725,0.66683,1.35739,0.0003368,0.0003368,0.0003368
86,2476.16,0.99157,0.44733,1.03441,0.97552,0.97504,0.96078,0.46315,1.79228,0.66286,1.35193,0.000317,0.000317,0.000317
87,2504.83,0.98646,0.45127,1.02519,0.9689,0.96476,0.9582,0.4722,1.74948,0.66906,1.33206,0.0002972,0.0002972,0.0002972
88,2533.53,0.98992,0.448,1.02987,0.9793,0.9726,0.97022,0.47508,1.75914,0.64747,1.33987,0.0002774,0.0002774,0.0002774
89,2562.33,1.00968,0.45173,1.03549,0.97897,0.97651,0.97409,0.50089,1.68683,0.63935,1.28615,0.0002576,0.0002576,0.0002576
90,2591.13,0.99181,0.44095,1.02384,0.9631,0.96035,0.95366,0.45645,1.80188,0.68184,1.34644,0.0002378,0.0002378,0.0002378
91,2620.22,0.95996,0.41271,1.03692,0.96867,0.95154,0.95922,0.4678,1.762,0.67965,1.32739,0.000218,0.000218,0.000218
92,2648.72,0.93721,0.40108,1.01434,0.98237,0.97651,0.97514,0.49649,1.70373,0.6355,1.29646,0.0001982,0.0001982,0.0001982
93,2677.22,0.93035,0.39295,1.01348,0.97535,0.97063,0.97421,0.49143,1.71214,0.6526,1.30232,0.0001784,0.0001784,0.0001784
94,2705.83,0.93468,0.39554,1.01022,0.96906,0.96589,0.96866,0.48615,1.72175,0.66718,1.29172,0.0001586,0.0001586,0.0001586
95,2734.32,0.92403,0.39262,1.01281,0.96605,0.96103,0.95893,0.4767,1.73008,0.65962,1.29361,0.0001388,0.0001388,0.0001388
96,2762.71,0.9195,0.38733,1.00788,0.97031,0.95888,0.95899,0.4728,1.7644,0.66312,1.31945,0.000119,0.000119,0.000119
97,2791.18,0.91661,0.38338,1.00373,0.97633,0.96915,0.96574,0.46751,1.77401,0.65829,1.32256,9.92e-05,9.92e-05,9.92e-05
98,2819.76,0.91753,0.38536,1.0055,0.96464,0.96154,0.95945,0.46556,1.78761,0.66769,1.31221,7.94e-05,7.94e-05,7.94e-05
99,2848.28,0.91667,0.38234,1.00721,0.96036,0.96059,0.96162,0.4629,1.79504,0.66359,1.32725,5.96e-05,5.96e-05,5.96e-05
100,2876.8,0.91689,0.37669,1.00442,0.95903,0.96241,0.95786,0.46977,1.7751,0.6522,1.31349,3.98e-05,3.98e-05,3.98e-05
